Load,NDV,Solar,Wind
10330.97,8775.97,77,1478
10791.3,9216.3,115,1460
10772.26,9151.26,207,1414
10736.53,9166.53,223,1347
10703.72,9227.72,150,1326
10618.96,9307.96,145,1166
10674.79,9472.79,51,1151
10773.58,9711.58,0,1062
10718.59,9692.59,0,1026
10526.28,9603.28,0,923
10296.9,9301.9,0,995
10170.62,9205.62,0,965
9956.69,8990.69,0,966
9732.11,8861.11,0,871
9573.66,8800.66,0,773
9506.91,8820.91,0,686
9492.01,8954.01,0,538
9437.76,9053.76,0,384
9464.31,9211.31,0,253
9637.9,9458.9,0,179
10085.65,9963.65,0,122
10501.74,10419.74,0,82
10522.94,10389.94,53,80
10479.83,9996.83,333,150
10585.25,9500.25,515,570
10725.6,9039.6,569,1117
10640.92,8676.92,576,1388
10653.82,8564.82,599,1490
10674.87,8422.87,691,1561
10709.93,8298.93,684,1727
10737.87,8621.87,187,1929
10786,8811,0,1975
10893.77,8923.77,0,1970
10793.63,8821.63,0,1972
10660.63,8710.63,0,1950
10447.39,8492.39,0,1955
10113.93,8164.93,0,1949
9845.18,7897.18,0,1948
9754.28,7793.28,0,1961
9585.43,7641.43,0,1944
9546.86,7665.86,0,1881
9602.73,7727.73,0,1875
9611.16,7725.16,0,1886
9894.8,7985.8,0,1909
10252.11,8402.11,0,1850
10705.17,8825.17,0,1880
10704.31,8818.31,61,1825
10746.16,8557.16,473,1716
10759.76,8361.76,629,1769
10634.23,8458.23,608,1568
10618.12,8524.12,570,1524
10555.15,8538.15,481,1536
10451.16,8818.16,271,1362
10536.7,9082.7,192,1262
10603.75,9097.75,86,1420
10699.57,9073.57,0,1626
10761.28,8990.28,0,1771
10549.86,8928.86,0,1621
10354.36,8820.36,0,1534
10237.15,8733.15,0,1504
9986.79,8176.79,0,1810
9757.59,7794.59,0,1963
9551.13,7703.13,0,1848
9510.22,7743.22,0,1767
9403.45,7904.45,0,1499
9485.08,8214.08,0,1271
9424.05,8288.05,0,1136
9582.75,7691.75,0,1891
9712.4,7822.4,0,1890
10011.13,8166.13,0,1845
10251.12,8525.12,15,1711
10431.47,8763.47,72,1596
10527.73,8392.73,180,1955
10602.08,8396.08,199,2007
10588.71,8237.71,303,2048
10608.99,8362.99,202,2044
10631.88,8497.88,161,1973
10616.14,8738.14,94,1784
10709.79,8987.79,57,1665
10862.15,9227.15,0,1635
10775.08,9037.08,0,1738
10644.2,8990.2,0,1654
10552.22,9003.22,0,1549
10389.25,8920.25,0,1469
10167.16,8714.16,0,1453
9901.46,8608.46,0,1293
9734.03,8393.03,0,1341
9639.68,8375.68,0,1264
9569.44,8394.44,0,1175
9542.09,8405.09,0,1137
9482.66,8478.66,0,1004
9608.59,8708.59,0,900
9719.29,8903.29,0,816
9924.8,9146.8,0,778
9943.23,9282.23,19,642
10142.26,9519.26,144,479
10279.61,9625.61,248,406
10411.37,9652.37,373,386
10551.9,9858.9,360,333
10583.84,9882.84,421,280
10536.9,9847.9,395,294
10539.33,10035.33,210,294
10515.53,10154.53,92,269
10744.14,10456.14,0,288
10867.16,10514.16,0,353
10640.3,10206.3,0,434
10631.01,10252.01,0,379
10470,10093,0,377
10144.07,9836.07,0,308
10010.05,9622.05,0,388
9736.78,9203.78,0,533
9607.61,9089.61,0,518
9681.96,9185.96,0,496
9659.29,9043.29,0,616
9711.97,9000.97,0,711
9771.47,8955.47,0,816
10078.55,9328.55,0,750
10517.8,9732.8,0,785
10603.91,9664.91,9,930
10785.33,9743.33,50,992
10879.79,9695.79,151,1033
10964.6,9694.6,181,1089
11003.66,9540.66,292,1171
10970.94,9680.94,217,1073
10958.82,10017.82,129,812
10775.84,9866.84,51,858
10977.66,10164.66,47,766
11229.18,10674.18,0,555
11307.24,10832.24,0,475
11162.95,10653.95,0,509
10957.8,10376.8,0,581
10764.89,10307.89,0,457
10442.11,9903.11,0,539
10320.6,9731.6,0,589
10162.04,9538.04,0,624
10031.33,9495.33,0,536
9931.86,9332.86,0,599
9868.23,9210.23,0,658
9907.3,9325.3,0,582
9978.74,9540.74,0,438
10151.19,9744.19,0,407
10578.67,10218.67,0,360
10709.37,10224.37,8,477
10790.5,10010.5,327,453
10949.31,9991.31,543,415
10977.92,10093.92,542,342
10755.55,10024.55,531,200
10818.46,10153.46,546,119
10748.34,10089.34,611,48
10823.39,10271.39,514,38
10929.41,10729.41,176,24
11170.23,11151.23,0,19
11284.08,11270.08,0,14
11035.13,11020.13,0,15
10895.65,10877.65,0,18
10697.8,10668.8,0,29
10499.86,10490.86,0,9
10242.26,10235.26,0,7
9997.8,9993.8,0,4
9928.23,9909.23,0,19
9881.89,9867.89,0,14
9843.08,9819.08,0,24
9875.16,9852.16,0,23
9975.94,9937.94,0,38
10230.4,10170.4,0,60
10696.92,10633.92,0,63
10926.15,10861.15,10,55
10953.83,10689.83,188,76
10968.29,10563.29,327,78
10962.08,10394.08,460,108
10880.8,10377.8,453,50
10814.27,10393.27,359,62
10811.21,10439.21,317,55
10715.31,10465.31,200,50
10892.28,10751.28,87,54
11155.71,11065.71,0,90
11242.92,11164.92,0,78
11087.39,11032.39,0,55
10887.47,10841.47,0,46
10726.93,10665.93,0,61
10494.86,10400.86,0,94
10271.1,10104.1,0,167
10076.91,9858.91,0,218
10026.27,9745.27,0,281
9978.61,9706.61,0,272
10024.11,9654.11,0,370
10026.1,9589.1,0,437
10116.94,9732.94,0,384
10391.15,9998.15,0,393
10734.69,10219.69,0,515
10941.42,10342.42,11,588
10969.84,10062.84,298,609
11062.52,9750.52,536,776
11131.74,9747.74,571,813
11023.08,9506.08,550,967
10923.17,9222.17,594,1107
10876.08,9023.08,641,1212
10955.07,9073.07,571,1311
11003.84,9324.84,175,1504
11130.71,9598.71,0,1532
11206.32,9635.32,0,1571
11048.84,9420.84,0,1628
11030.54,9444.54,0,1586
10910.77,9336.77,0,1574
10665.2,9090.2,0,1575
10412.65,8826.65,0,1586
